"Name","Sex","Group","Date","Stimulus","Note","Filename","Right_foot_centerline_dist_mean","Right_foot_centerline_dist_sd","Right_foot_centerline_dist_Kurtosis","Right_foot_centerline_dist_Skewness","Left_foot_centerline_dist_mean","Left_foot_centerline_dist_sd","Left_foot_centerline_dist_Kurtosis","Left_foot_centerline_dist_Skewness"
"210122S11M1","M","S11",2021-02-17 16:01:44,1,"","2021-02-17 11-01-44 210122S11M1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",44.5309415560423,18.9778652158494,2.64019958179622,0.251171715007126,23.1465473234037,12.4142728400397,3.56025447911567,0.74312785412898
"210301UF1","F","U",2021-03-01 16:07:57,1,"","2021-03-01 11-07-57 210301UF1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",50.7109733577834,12.8264783505563,3.62645764198015,0.724640997891034,36.160913774038,20.8641428697919,2.85289385591269,0.436129959435803
"210301UM1","M","U",2021-03-01 16:58:33,1,"","2021-03-01 11-58-33 210301UM1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",31.6056180398665,26.377616686379,3.70087298973227,0.971472993639561,32.220923353638,22.2018067301187,6.78798217360722,1.6137376258042
"210301UM2","M","U",2021-03-01 17:16:56,1,"","2021-03-01 12-16-56 210301UM2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",22.3711546333553,15.1021745749767,3.04359356846228,0.774988073542099,13.5637451882136,7.00442175475935,26.7273203069581,3.9279852699148
"210302UM1","M","U",2021-03-02 16:03:55,1,"","2021-03-02 11-03-55 210302UM1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",19.0765184563471,12.5427828972491,6.76561457871567,1.4550160378343,14.8086919119958,14.803899389336,6.71667412889754,1.82786661212271
"210302UM2","M","U",2021-03-02 16:16:53,1,"","2021-03-02 11-16-53 210302UM2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",29.9316291065429,19.3590230502327,10.1700186164187,2.49213268497157,21.8743726292792,19.9550070107774,6.04478403803182,1.5916656497289
"210302UM3","M","U",2021-03-02 16:26:11,1,"","2021-03-02 11-26-11 210302UM3 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",43.210298563157,24.1610521934179,8.53943448925282,1.95738725169248,53.1484040427143,22.3542623831085,4.11998492843075,1.02565617368875
"210304UF1","F","U",2021-03-04 18:06:58,1,"","2021-03-04 13-06-58 210304UF1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",39.0256396749892,9.8004029107103,4.72373108662163,0.295465492819915,52.051695411306,15.2608585252083,3.6908890178347,0.150843247381386
"210304UM1","M","U",2021-03-04 18:30:16,1,"","2021-03-04 13-30-16 210304UM1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",31.0645592185005,9.46490464011436,5.13695234668791,1.54366874479531,22.1870468773038,5.24877326436275,2.72758937621771,0.425101058997408
"210304UF2","F","U",2021-03-04 18:48:09,1,"","2021-03-04 13-48-09 210304UF2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",36.4887704984605,14.831963056334,3.77265039971864,0.634562702808639,24.1414065715141,16.7780637040155,7.25654893065883,1.8644938779095
"210304UM2","M","U",2021-03-04 19:09:01,1,"","2021-03-04 14-09-01 210304UM2 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",51.5885154053583,24.6937648003512,4.33334542111874,1.09470256948163,37.7005176006445,23.5247101568809,6.01398701351002,1.37712761379917
"210219GF1","F","G",2021-03-10 16:05:53,1,"","2021-03-10 11-05-53 210219GF1 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",42.1222082348381,10.6727959906706,2.80841812459442,0.42308103492171,34.6315257518695,13.5231676556591,2.5295328821067,0.258168799268588
"210219S12subF5","F","S12sub",2021-03-11 18:01:59,1,"","2021-03-11 13-01-59 210219S12subF5 stim01DLC_resnet50_stim01-trainedJun9shuffle4_320000_filtered.csv",79.4324879832784,17.0762147606395,5.5509184687021,1.11268787635459,44.2840623223016,19.9678218385961,10.1099148945296,2.23666752451288
